PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
6854.00,UA,United Air Lines Inc.,14771,SFO,12169,HND,2026,2
6855.00,OO,SkyWest Airlines Inc.,14893,SMF,14747,SEA,2026,2
6856.00,KE,Korean Air Lines Co. Ltd.,12277,ICN,14747,SEA,2026,2
6856.00,UA,United Air Lines Inc.,11292,DEN,12451,JAX,2026,1
6856.00,UA,United Air Lines Inc.,13930,ORD,14027,PBI,2026,2
6857.00,UA,United Air Lines Inc.,10846,BZE,12266,IAH,2026,2
6858.00,9E,Endeavor Air Inc.,12953,LGA,14492,RDU,2026,2
6858.00,N3,Vuela EL Salvador S.A. de C.V.,12892,LAX,14677,SAL,2026,1
6859.00,UA,United Air Lines Inc.,12264,IAD,11298,DFW,2026,1
6860.00,DL,Delta Air Lines Inc.,11915,GIG,10397,ATL,2026,2
6862.00,UA,United Air Lines Inc.,12266,IAH,11042,CLE,2026,1
6863.00,WN,Southwest Airlines Co.,13303,MIA,13204,MCO,2026,1
6866.00,TA,Taca International Airlines,14677,SAL,12478,JFK,2026,1
6867.00,MQ,Envoy Air,12278,ICT,11298,DFW,2026,2
6868.00,UA,United Air Lines Inc.,14893,SMF,12266,IAH,2026,1
6869.00,G3,VRG Linhas Aereas S A,10758,BSB,13204,MCO,2026,2
6869.00,YX,Republic Airline,10397,ATL,12953,LGA,2026,2
6870.00,QR,Qatar Airways (Q.C.S.C),11369,DOH,10721,BOS,2026,2
6870.00,UA,United Air Lines Inc.,10785,BTV,13930,ORD,2026,2
6872.00,BA,British Airways Plc,14100,PHL,12972,LHR,2026,1
6872.00,OO,SkyWest Airlines Inc.,11292,DEN,14457,RAP,2026,2
6872.00,TK,Turk Hava Yollari A.O.,12395,IST,10397,ATL,2026,2
6873.00,BW,Caribbean Airlines Limited,12478,JFK,14210,POS,2026,1
6873.00,KE,Korean Air Lines Co. Ltd.,11298,DFW,12277,ICN,2026,1
6874.00,AA,American Airlines Inc.,11298,DFW,13156,MAD,2026,2
6875.00,NK,Spirit Air Lines,12889,LAS,10800,BUR,2026,2
6876.00,UA,United Air Lines Inc.,12451,JAX,13930,ORD,2026,2
6876.00,WN,Southwest Airlines Co.,13232,MDW,13871,OMA,2026,2
6877.00,BA,British Airways Plc,11298,DFW,12972,LHR,2026,1
6877.00,F9,Frontier Airlines Inc.,14771,SFO,11292,DEN,2026,2
6878.00,YX,Republic Airline,12339,IND,11618,EWR,2026,2
6879.00,AA,American Airlines Inc.,11298,DFW,15624,VPS,2026,2
6879.00,AA,American Airlines Inc.,13303,MIA,10846,BZE,2026,2
6879.00,UA,United Air Lines Inc.,12264,IAD,10693,BNA,2026,2
6880.00,UA,United Air Lines Inc.,12266,IAH,14893,SMF,2026,1
6882.00,AA,American Airlines Inc.,10397,ATL,14107,PHX,2026,1
6883.00,AS,Alaska Airlines Inc.,14004,PAE,12889,LAS,2026,2
6884.00,AF,Compagnie Natl Air France,10920,CDG,14771,SFO,2026,2
6884.00,MQ,Envoy Air,13303,MIA,11519,EIS,2026,2
6884.00,OH,PSA Airlines Inc.,14685,SAV,11057,CLT,2026,2
6884.00,PT,Piedmont Airlines,10980,CHA,11057,CLT,2026,1
6884.00,UA,United Air Lines Inc.,14293,PUJ,13930,ORD,2026,1
6888.00,B6,JetBlue Airways,14027,PBI,11278,DCA,2026,2
6888.00,UA,United Air Lines Inc.,11292,DEN,14027,PBI,2026,1
6889.00,DL,Delta Air Lines Inc.,12169,HND,12892,LAX,2026,2
6890.00,DL,Delta Air Lines Inc.,10849,BZN,13487,MSP,2026,1
6890.00,DL,Delta Air Lines Inc.,14832,SJD,13487,MSP,2026,1
6891.00,OO,SkyWest Airlines Inc.,12892,LAX,14831,SJC,2026,2
6891.00,WN,Southwest Airlines Co.,11884,GEG,12889,LAS,2026,2
6893.00,CX,Cathay Pacific Airways Ltd.,12143,HKG,10721,BOS,2026,2
6893.00,JL,Japan Air Lines Co. Ltd.,12169,HND,12892,LAX,2026,1
6893.00,LH,Lufthansa German Airlines,11760,FRA,13930,ORD,2026,2
6896.00,9E,Endeavor Air Inc.,16271,YYZ,12953,LGA,2026,2
6897.00,MQ,Envoy Air,15016,STL,13930,ORD,2026,2
6898.00,AA,American Airlines Inc.,11986,GRR,11057,CLT,2026,1
6898.00,WN,Southwest Airlines Co.,13198,MCI,15016,STL,2026,1
6899.00,DL,Delta Air Lines Inc.,11433,DTW,10821,BWI,2026,2
6899.00,WN,Southwest Airlines Co.,13495,MSY,15304,TPA,2026,2
6900.00,UA,United Air Lines Inc.,11292,DEN,10529,BDL,2026,2
6900.00,UA,United Air Lines Inc.,11292,DEN,10800,BUR,2026,1
6902.00,OO,SkyWest Airlines Inc.,11603,EUG,14747,SEA,2026,1
